      2 bloom_refusal refusal  e.g. bloom_refusal reason=scene_handoff count=1 device=1 ordinary_signal=1
      1 bolt_footprint refused_buffer!=0  e.g. bolt_footprint device=1 frame=4499 frames=300 draws=54 written=53 untouched=0 gated=0 instances=166 expanded=166 lengthened=166 widened=166 world_axis=166 disc=0 refused_period=0 refused_w=0 refused_buffer=1 refused_rows
      1 bolt_footprint_refused refused  e.g. bolt_footprint_refused device=1 frame=4411 index=6 reason=buffer detail=1
    135 chase_camera refused!=0  e.g. chase_camera frame=1200 status=active frames=15 applied=0 refused=15 refused_inactive=0 admitted_unbound=0 cockpits_seen=1 snaps=0 coalesced=0 clamps=0 write_refused=0 verdict=1 snap_reason=0 mode=1 connect=0 flags_1a0=0
     17 chase_transition_detail refused!=0  e.g. chase_transition_detail event=34 geometry_valid=7 angles_a8=0,0,0 offset_160=0,0,-17404 view_lock_120=1 context_returns_extra=00000000:00000000,00000000:00000000 identity_valid=399 identity_refused=3584 vm=0x03b08250 nat
    139 chase_view_restore_state refusal_reasons!=0  e.g. chase_view_restore_state frame=0 armed=0 pending=0 arms=0 arm_refusals=0 arm_refusal_reasons=0,0,0,0,0,0,0 transfers=0 consumed=0 writes_failed=0 seam_calls=0 eh_bumps=0 epoch=1 last_refusal=0 cancels=0,0,0,0,0,0,0,0,0,0
    139 chase_view_restore_state refusals!=0  e.g. chase_view_restore_state frame=0 armed=0 pending=0 arms=0 arm_refusals=0 arm_refusal_reasons=0,0,0,0,0,0,0 transfers=0 consumed=0 writes_failed=0 seam_calls=0 eh_bumps=0 epoch=1 last_refusal=0 cancels=0,0,0,0,0,0,0,0,0,0
    138 collide_census rejected_max!=0  e.g. collide_census frame=299 frames=300 p1_pairs_p50=2226 p1_pairs_max=3060 p1_pairs_sum=736050 p1_rejected_p50=1947 p1_rejected_max=2769 p1_rejected_sum=652681 p2_cands_p50=0 p2_cands_max=0 p2_cands_sum=0 p2_rejected_p50=0 
    137 collide_census rejected_p50!=0  e.g. collide_census frame=299 frames=300 p1_pairs_p50=2226 p1_pairs_max=3060 p1_pairs_sum=736050 p1_rejected_p50=1947 p1_rejected_max=2769 p1_rejected_sum=652681 p2_cands_p50=0 p2_cands_max=0 p2_cands_sum=0 p2_rejected_p50=0 
    138 collide_census rejected_sum!=0  e.g. collide_census frame=299 frames=300 p1_pairs_p50=2226 p1_pairs_max=3060 p1_pairs_sum=736050 p1_rejected_p50=1947 p1_rejected_max=2769 p1_rejected_sum=652681 p2_cands_p50=0 p2_cands_max=0 p2_cands_sum=0 p2_rejected_p50=0 
   5541 emission_source_gain_frame refused_other!=0  e.g. emission_source_gain_frame device=1 frame=1235 gain=2 admitted=0 admitted_screen=0 refused_blend=0 refused_screen=0 refused_other=10 refused_unknown=0 refused_state=10 bind_failures=0
   5541 emission_source_gain_frame refused_state!=0  e.g. emission_source_gain_frame device=1 frame=1235 gain=2 admitted=0 admitted_screen=0 refused_blend=0 refused_screen=0 refused_other=10 refused_unknown=0 refused_state=10 bind_failures=0
     16 emission_source_gain_refused_state refused_state  e.g. emission_source_gain_refused_state device=1 frame=1235 vs=d5e1c75351ed3f04 ps=8360f422de08b5bd hdr=0 scene=0 open=1 recording=0 primitives=8 msaa=0 blend=1 src=2 dst=2 op=1 sepalpha=1
   3302 fade_route_frame refused!=0  e.g. fade_route_frame device=1 frame=22665 fade_routed=2 fade_refused=0 fade_held=0 fade_route=500 cutout_caps=1 overlay_routed=0 overlay_refused=6
  40257 hull_emission_frame refused_blend!=0  e.g. hull_emission_frame device=1 frame=1186 gain=2 admitted=0 refused_blend=60 refused_variant=0 programs=000 refused_other=0 refused_routed=0 refused_unknown=0 refused_state=0 bind_failures=0 opaque=59 alpha=1 toggled=1
   1043 hull_emission_frame refused_other!=0  e.g. hull_emission_frame device=1 frame=4 gain=2 admitted=0 refused_blend=0 refused_variant=0 programs=000 refused_other=133 refused_routed=0 refused_unknown=0 refused_state=133 bind_failures=0 opaque=0 alpha=0 toggled=1
   1043 hull_emission_frame refused_state!=0  e.g. hull_emission_frame device=1 frame=4 gain=2 admitted=0 refused_blend=0 refused_variant=0 programs=000 refused_other=133 refused_routed=0 refused_unknown=0 refused_state=133 bind_failures=0 opaque=0 alpha=0 toggled=1
     16 hull_emission_refused refused  e.g. hull_emission_refused device=1 frame=1186 vs=4944d81dfe531b37 ps=64bac8bb307eb896 reason=blend blend=1 src=5 dst=6 op=1 sepalpha=0 srgb=0
     16 hull_emission_refused_state refused_state  e.g. hull_emission_refused_state device=1 frame=4 vs=37c34a7478544c14 ps=5f82ecacd39529cd hdr=0 scene=0 open=1 recording=0 primitives=1054 msaa=0 blend=0 src=5 dst=6 op=1
     69 loading_metric failures!=0  e.g. loading_metric op=CreateFileA qpc=19246138363436 count=39 failures=2 pending=0 ambiguous=0 bytes=0 inclusive_ticks=134893 exclusive_ticks=134893 max_ticks=75985 wrapper_tail_ticks=162 total_us=13489.300 exclusive_us=1348
      5 media_cue_window failures!=0  e.g. media_cue_window qpc=19246271200590 frame=299 frames=300 attempts=4 failures=1 successes=3 refused=0 unobserved=0 attempts_frame_p50=0 attempts_frame_max=3 ids=144:1,244:1,1:1,8404:1 id_overflow=0 cache_used=0 evictions=
      1 mesh_cache failure!=0  e.g. mesh_cache requested=0 enabled=0 activation=await_public_mesh_and_buffer_contract adjacency_metric_scope=hook_service restart_on_cleanup_failure=1
    138 screen_emission_additive_refused_window refused_window  e.g. screen_emission_additive_refused_window device=1 frame=299 frames=300 pair_draws=0 admitted=0 refused=0 apply_failures=0 not_reached=0 state=0 draw_shape=0 scene=0 no_fp16_target=0 no_variant=0 srgb_sampler=0 projected=0
  40200 shadow_replay_candidates refused2!=0  e.g. shadow_replay_candidates device=1 frame=1188 routed=116 zwrite=115 slice0=64 bounds=9 origin=4 fallback=55 managed=50 dynamic=0 default_pool=0 excluded=14 unknown=0 shadow_mismatch=0 leased=50 capped=0 reads=6 serial_cha
